GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,185,2,16,2,33,2,13,0,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
Apache Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,15,105,0,12,3,23,2,12,2,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,5,55,0,0,0,2,1,3,1,3
Apache Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,2,114,4,20,0,17,4,12,0,4
Apache Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,132,1,15,0,28,1,9,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Apache Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,283,0,14,0,13
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,12,474,13,73,0,92,11,43,0,10
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,366,1,25,0,64,1,25,0,13
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,64,1,3,1,12,1,4,0,3
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},4,94,1,9,1,18,2,8,1,4
Apache Commons Lang,org.apache.commons.lang3,Conversion,193,2542,84,376,32,461,75,229,1,43
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,23,4,3,0,3
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,355,0,56,0,60,0,53,0,25
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,455,9,83,18,94,10,47,1,10
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,35,1,13,1,4
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,41,0,0,0,16,0,7,0,7
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},0,7,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,800,9,245,0,207,9,161,0,41
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,31,585,1,87,6,142,1,78,0,35
Apache Commons Lang,org.apache.commons.lang3,StringUtils,68,5953,43,1290,25,1473,44,824,1,200
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,46,151,5,15,9,48,4,13,0,7
Apache Commons Lang,org.apache.commons.lang3,CharSet,0,300,0,34,0,59,0,26,0,9
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,13,267,2,54,5,61,3,38,1,12
Apache Commons Lang,org.apache.commons.lang3,Range,23,417,6,72,2,93,6,57,0,24
Apache Commons Lang,org.apache.commons.lang3,RandomUtils,3,163,0,26,2,29,1,19,1,6
Apache Commons Lang,org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
Apache Commons Lang,org.apache.commons.lang3,CharRange,0,238,1,47,0,44,1,37,0,14
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3,ClassUtils,41,1287,14,234,12,318,15,153,1,43
Apache Commons Lang,org.apache.commons.lang3,JavaVersion,30,299,5,27,6,63,7,19,2,8
Apache Commons Lang,org.apache.commons.lang3,Validate,22,765,17,101,6,134,17,89,2,45
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils,2,5590,12,1128,1,1398,12,802,0,244
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.Interfaces,21,29,0,0,1,2,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,5,40,0,0,0,4,1,4,1,4
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,88,2,6,1,14,2,5,0,3
Apache Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3,CharSequenceUtils,42,142,12,26,12,36,9,18,0,8
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils,8,1083,0,0,2,144,2,16,2,16
Apache Commons Lang,org.apache.commons.lang3,CharSetUtils,0,226,1,47,0,53,1,31,0,8
Apache Commons Lang,org.apache.commons.lang3,SystemUtils,24,433,15,31,4,122,15,24,0,16
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.1.new Iterator() {...},4,29,0,2,1,6,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3,ClassPathUtils,0,136,0,0,0,22,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,21,0,0,0,5,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,18,0,0,0,4,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,820,1481,176,230,165,329,133,124,8,46
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,0,22,0,0,0,7,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.GenericArrayTypeImpl,25,12,6,0,4,5,5,3,2,3
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.ParameterizedTypeImpl,32,39,3,3,7,10,4,6,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeLiteral,13,68,2,2,4,12,4,4,2,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,22,45,3,3,5,9,4,6,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.new Typed() {...},0,9,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,5,220,7,39,2,43,8,24,1,8
Apache Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,26,715,10,74,4,141,12,65,2,33
Apache Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,15,179,4,18,4,49,5,15,1,8
Apache Commons Lang,org.apache.commons.lang3.reflect,InheritanceUtils,0,42,0,10,0,12,0,7,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,28,504,7,51,11,126,6,42,0,19
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils,26,80,0,0,4,13,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport,0,185,0,2,0,44,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,0,58,0,8,0,11,0,7,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,26,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.math,IEEE754rUtils,0,231,0,40,0,53,0,33,0,13
Apache Commons Lang,org.apache.commons.lang3.math,NumberUtils,30,1619,36,346,6,416,31,217,0,56
Apache Commons Lang,org.apache.commons.lang3.math,Fraction,32,1274,16,180,6,271,14,119,0,35
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer.InitializationTask,0,30,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,0,77,0,6,0,29,0,11,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore,0,199,0,22,0,57,0,27,0,16
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils.ConstantFuture,0,18,0,0,0,8,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,CallableBackgroundInitializer,0,31,0,2,0,12,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore.new Runnable() {...},0,10,0,0,0,4,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,LazyInitializer,3,28,1,3,0,8,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils,3,159,0,34,2,42,1,29,1,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConstantInitializer,0,57,0,6,0,14,0,9,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer.MultiBackgroundInitializerResults,0,74,0,2,0,19,0,9,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer,4,102,0,10,2,33,0,17,0,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicInitializer,4,25,1,3,1,7,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentException,3,11,0,0,2,4,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer,3,162,0,14,0,37,0,12,0,5
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentRuntimeException,3,11,0,0,2,4,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicSafeInitializer,0,33,1,3,0,8,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory,0,107,0,10,0,30,0,14,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,MutableTriple,0,43,0,0,0,17,0,9,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutableTriple,0,28,0,0,0,9,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.tuple,Triple,4,130,2,14,0,19,2,13,0,7
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutablePair,4,21,0,0,1,7,1,4,1,4
Apache Commons Lang,org.apache.commons.lang3.tuple,Pair,2,107,1,11,0,17,1,14,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,MutablePair,0,40,0,0,0,16,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedRuntimeException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,CloneFailedException,8,5,0,0,4,2,2,1,2,1
Apache Commons Lang,org.apache.commons.lang3.exception,ExceptionUtils,46,566,6,80,14,139,7,62,3,23
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,DefaultExceptionContext,0,227,0,24,0,49,0,20,0,8
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableFloat,0,136,0,4,0,40,0,26,0,24
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableInt,0,127,0,4,0,39,0,24,0,22
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableShort,0,136,0,4,0,40,0,25,0,23
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableDouble,0,144,0,4,0,41,0,26,0,24
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableByte,0,136,0,4,0,40,0,25,0,23
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableBoolean,0,88,0,8,0,27,0,20,0,16
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableLong,0,134,0,4,0,39,0,24,0,22
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableObject,0,59,0,10,0,18,0,12,0,7
Apache Commons Lang,org.apache.commons.lang3.builder,CompareToBuilder,55,984,30,210,21,237,32,118,2,28
Apache Commons Lang,org.apache.commons.lang3.builder,RecursiveToStringStyle,0,47,1,5,0,14,1,6,0,4
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.JsonToStringStyle,200,135,35,11,69,44,27,11,8,7
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,2,9,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,DiffResult,0,127,0,12,0,32,0,13,0,7
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,2,3,0,0,1,2,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoFieldNameToStringStyle,2,6,0,0,1,3,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,2,18,0,0,1,7,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,ReflectionToStringBuilder,47,316,1,39,6,78,5,41,4,22
Apache Commons Lang,org.apache.commons.lang3.builder,HashCodeBuilder,40,745,3,91,5,156,6,77,3,33
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle,187,1550,26,192,43,471,42,180,16,97
Apache Commons Lang,org.apache.commons.lang3.builder,StandardToStringStyle,97,46,0,0,39,23,29,12,29,12
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringBuilder,195,394,1,11,38,95,20,50,19,45
Apache Commons Lang,org.apache.commons.lang3.builder,MultilineRecursiveToStringStyle,96,310,1,7,24,62,5,13,4,10
Apache Commons Lang,org.apache.commons.lang3.builder,EqualsBuilder,55,985,39,195,20,246,40,112,1,34
Apache Commons Lang,org.apache.commons.lang3.builder,Diff,0,52,0,0,0,10,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,2,29,0,0,1,6,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoClassNameToStringStyle,2,9,0,0,1,4,1,1,1,1
